"user_id","time","position_latent"
"6558","b6028a10-1569-11eb-90e4-ac7289d091ca","F"
"9186","9ac4e658-1569-11eb-90e4-ac7289d091ca","A"
"9096","c9d8de86-1569-11eb-90e4-ac7289d091ca","A"
"16555","ae79c394-1569-11eb-90e4-ac7289d091ca","B"
"12783","c808e3a8-1569-11eb-90e4-ac7289d091ca","E"
"9946","a96bda5e-1569-11eb-90e4-ac7289d091ca","C"
"6505","a7cccad2-1569-11eb-90e4-ac7289d091ca","F"
"14442","aa16f0e2-1569-11eb-90e4-ac7289d091ca","D"
"17041","b8959ad8-1569-11eb-90e4-ac7289d091ca","C"
"18546","aedb884a-1569-11eb-90e4-ac7289d091ca","B"
"12433","c882e4a0-1569-11eb-90e4-ac7289d091ca","B"
"1787","a32cc978-1569-11eb-90e4-ac7289d091ca","B"
"1975","cb570d82-1569-11eb-90e4-ac7289d091ca","E"
"17721","b833eacc-1569-11eb-90e4-ac7289d091ca","E"
"57","b51bd520-1569-11eb-90e4-ac7289d091ca","A"
"16801","a0a5e3d8-1569-11eb-90e4-ac7289d091ca","E"
"5333","cd48da58-1569-11eb-90e4-ac7289d091ca","C"
"14233","af3cfa1c-1569-11eb-90e4-ac7289d091ca","A"
"17309","a1754d9e-1569-11eb-90e4-ac7289d091ca","E"
"8117","c12af012-1569-11eb-90e4-ac7289d091ca","E"
"5330","c0430be4-1569-11eb-90e4-ac7289d091ca","B"
"11760","bc41a500-1569-11eb-90e4-ac7289d091ca","D"
"6144","badf79c6-1569-11eb-90e4-ac7289d091ca","B"
"2907","a9f22ba4-1569-11eb-90e4-ac7289d091ca","D"
"4657","b16ea7e0-1569-11eb-90e4-ac7289d091ca","D"
"5451","c5d72a4a-1569-11eb-90e4-ac7289d091ca","C"
"3889","ae17fa4c-1569-11eb-90e4-ac7289d091ca","C"
"11453","c6cc8576-1569-11eb-90e4-ac7289d091ca","A"
"6734","b03eb81a-1569-11eb-90e4-ac7289d091ca","C"
"9874","bb105df2-1569-11eb-90e4-ac7289d091ca","C"
"13017","ba7f42b8-1569-11eb-90e4-ac7289d091ca","F"
"15686","b5a0f156-1569-11eb-90e4-ac7289d091ca","A"
"19056","a56a57d2-1569-11eb-90e4-ac7289d091ca","F"
"19663","c1ee59da-1569-11eb-90e4-ac7289d091ca","E"
"4411","9db14df2-1569-11eb-90e4-ac7289d091ca","A"
"8562","a1cbc3b8-1569-11eb-90e4-ac7289d091ca","B"
"1065","c3689604-1569-11eb-90e4-ac7289d091ca","E"
"11844","ae48e396-1569-11eb-90e4-ac7289d091ca","E"
"9262","aeaa8a38-1569-11eb-90e4-ac7289d091ca","F"
"10242","be97cdca-1569-11eb-90e4-ac7289d091ca","B"
"6023","a11fd77e-1569-11eb-90e4-ac7289d091ca","D"
"12238","9b66fa06-1569-11eb-90e4-ac7289d091ca","A"
"14593","cd6d784a-1569-11eb-90e4-ac7289d091ca","E"
"7494","c4b210da-1569-11eb-90e4-ac7289d091ca","E"
"6320","9e4f905c-1569-11eb-90e4-ac7289d091ca","A"
"4304","ac3cede0-1569-11eb-90e4-ac7289d091ca","E"
"19653","acf33582-1569-11eb-90e4-ac7289d091ca","F"
"12026","c95ea5bc-1569-11eb-90e4-ac7289d091ca","E"
"3944","ca52ced0-1569-11eb-90e4-ac7289d091ca","E"
"11838","9ca583e2-1569-11eb-90e4-ac7289d091ca","C"
"19723","c6206a34-1569-11eb-90e4-ac7289d091ca","D"
"14975","c24fad2a-1569-11eb-90e4-ac7289d091ca","E"
"15778","afcf9dc2-1569-11eb-90e4-ac7289d091ca","A"
"1161","a0fb02b4-1569-11eb-90e4-ac7289d091ca","B"
"17254","b67dc6a8-1569-11eb-90e4-ac7289d091ca","F"
"8936","c7cbac18-1569-11eb-90e4-ac7289d091ca","D"
"7052","a79bf5d8-1569-11eb-90e4-ac7289d091ca","E"
"15727","b4f5fc56-1569-11eb-90e4-ac7289d091ca","B"
"13188","b2f54376-1569-11eb-90e4-ac7289d091ca","A"
"15366","9c73715e-1569-11eb-90e4-ac7289d091ca","B"
"13909","aa90e866-1569-11eb-90e4-ac7289d091ca","B"
"140","9e2c263a-1569-11eb-90e4-ac7289d091ca","C"
"10683","a4d7dcb8-1569-11eb-90e4-ac7289d091ca","D"
"9631","c2fad4f2-1569-11eb-90e4-ac7289d091ca","F"
"18137","9f377a7a-1569-11eb-90e4-ac7289d091ca","F"
"6106","ad3c7166-1569-11eb-90e4-ac7289d091ca","D"
"9313","bd852982-1569-11eb-90e4-ac7289d091ca","A"
"5664","bc96fa1e-1569-11eb-90e4-ac7289d091ca","B"
"14867","b0dc24a6-1569-11eb-90e4-ac7289d091ca","B"
"6458","a93b0c94-1569-11eb-90e4-ac7289d091ca","B"
"5452","ab53e82a-1569-11eb-90e4-ac7289d091ca","A"
"9975","c7458bf6-1569-11eb-90e4-ac7289d091ca","F"
"3113","cd90b9f4-1569-11eb-90e4-ac7289d091ca","C"
"1375","ca9c0924-1569-11eb-90e4-ac7289d091ca","A"
"2219","b9a9c444-1569-11eb-90e4-ac7289d091ca","B"
"12114","bd3dcbaa-1569-11eb-90e4-ac7289d091ca","F"
"5240","c9155f2e-1569-11eb-90e4-ac7289d091ca","E"
"3888","9de1cc02-1569-11eb-90e4-ac7289d091ca","C"
"7519","a77764d4-1569-11eb-90e4-ac7289d091ca","F"
"19282","ab9d59d8-1569-11eb-90e4-ac7289d091ca","C"
"6955","a0133844-1569-11eb-90e4-ac7289d091ca","F"
"2377","9a9ee3a4-1569-11eb-90e4-ac7289d091ca","F"
"8814","cd232132-1569-11eb-90e4-ac7289d091ca","E"
"1136","ce235b38-1569-11eb-90e4-ac7289d091ca","A"
"10836","9b0b5458-1569-11eb-90e4-ac7289d091ca","C"
"17955","9d8d94fc-1569-11eb-90e4-ac7289d091ca","B"
"5705","b6a76422-1569-11eb-90e4-ac7289d091ca","A"
"7484","c651370e-1569-11eb-90e4-ac7289d091ca","D"
"8786","cafd9810-1569-11eb-90e4-ac7289d091ca","F"
"11764","c450b434-1569-11eb-90e4-ac7289d091ca","B"
"19622","aaf2829c-1569-11eb-90e4-ac7289d091ca","F"
"5533","a1520d34-1569-11eb-90e4-ac7289d091ca","B"
"12152","b018e298-1569-11eb-90e4-ac7289d091ca","D"
"7210","9a783d30-1569-11eb-90e4-ac7289d091ca","E"
"14580","cb902e64-1569-11eb-90e4-ac7289d091ca","D"
"17356","bb356f16-1569-11eb-90e4-ac7289d091ca","A"
"16890","a5399fa2-1569-11eb-90e4-ac7289d091ca","D"
"4044","c550d850-1569-11eb-90e4-ac7289d091ca","C"
"19033","ac60de3a-1569-11eb-90e4-ac7289d091ca","E"
"7893","9ee21e90-1569-11eb-90e4-ac7289d091ca","E"
"6461","c675d4e2-1569-11eb-90e4-ac7289d091ca","B"
"18413","a7f17706-1569-11eb-90e4-ac7289d091ca","C"
"2856","bdbc1730-1569-11eb-90e4-ac7289d091ca","B"
"2861","a721b9d0-1569-11eb-90e4-ac7289d091ca","E"
"14228","a753e07c-1569-11eb-90e4-ac7289d091ca","B"
"4396","abe66c2c-1569-11eb-90e4-ac7289d091ca","E"
"7639","a45eef4c-1569-11eb-90e4-ac7289d091ca","B"
"4030","9cedb16c-1569-11eb-90e4-ac7289d091ca","E"
"17462","a4148a7e-1569-11eb-90e4-ac7289d091ca","B"
"187","b7ba0b8a-1569-11eb-90e4-ac7289d091ca","B"
"1761","aa48c6ee-1569-11eb-90e4-ac7289d091ca","C"
"10824","c8b3c458-1569-11eb-90e4-ac7289d091ca","C"
"16920","a6e5ee14-1569-11eb-90e4-ac7289d091ca","B"
"18428","9bee67c0-1569-11eb-90e4-ac7289d091ca","D"
"715","b7ead2ba-1569-11eb-90e4-ac7289d091ca","E"
"2956","c839ad12-1569-11eb-90e4-ac7289d091ca","E"
"14792","c9833d3c-1569-11eb-90e4-ac7289d091ca","C"
